NAME,geoid,DR_COUNT,EM_COUNT,ihProgramDeclared,paProgramDeclared,femaDeclarationString_EM,femaDeclarationString_DR,POPUNI_23,PRED0_E_23,PRED0_M_23,PRED0_PE_23,PRED0_PM_23,PRED12_E_23,PRED12_M_23,PRED12_PE_23,PRED12_PM_23,PRED3_E_23,PRED3_M_23,PRED3_PE_23,PRED3_PM_23,COAST_CTY,PCT3_23,PCT3_LB_23,PCT3_UB_23,PCT3_ST_23,PCT3_ST_LB_23,PCT3_ST_UB_23,HRCN_PCT3_23,HRCN_PCT3_LB_23,HRCN_PCT3_UB_23,POPESTIMATE2024,Total_Pop_E_23,Total_Pop_M_23,HSE_Units_E_23,HSE_Units_M_23,HSE_Occ_E_23,HSE_Occ_M_23,HSE_Occ_PE_23,HSE_Occ_PM_23,Own_E_23,Own_M_23,Own_PE_23,Own_PM_23,Rent_E_23,Rent_M_23,Rent_PE_23,Rent_PM_23,DEP_Ratio_E_23,DEP_Ratio_M_23,HHLD_SSI_E_23,HHLD_SSI_M_23,HHLD_SSI_PE_23,HHLD_SSI_PM_23,HHLD_Cash_Assist_E_23,HHLD_Cash_Assist_M_23,HHLD_Cash_Assist_PE_23,HHLD_Cash_Assist_PM_23,HHLD_SNAP_E_23,HHLD_SNAP_M_23,HHLD_SNAP_PE_23,HHLD_SNAP_PM_23,HHLD_ASSIST_or_SNAP_PE_23,HHLD_ASSIST_or_SNAP_PM_23,Under_18_E_23,Under_18_M_23,Under_18_PE_23,Under_18_PM_23,65_plus_E_23,65_plus_M_23,65_plus_PE_23,65_plus_PM_23,Disability_E_23,Disability_M_23,Disability_PE_23,Disability_PM_23,ENG_LVW_E_23,ENG_LVW_M_23,ENG_LVW_PE_23,ENG_LVW_PM_23,RURAL_POP_DEC_2020,TOTAL_POP_DEC_2020,HOUSEHOLDS_DEC_2020,MULTIGEN_DEC_2020,ALAND,RURAL_POP_P_DEC_2020,MULTIGEN_P_DEC_2020,POP_DENSITY_DEC_2020,RURAL_POP_PF_DEC_2020,SAEMHI_PT_23,SAEMHI_MOE_23,SAEPOVALL_PT_23,SAEPOVALL_MOE_23,SAEPOVRTALL_PT_23,SAEPOVRTALL_MOE_23,SAEPOVU_ALL_23,UNEMP_PE_M01_24,UNEMP_M01_24,LABOR_FORCE_M01_24,UNEMP_PE_M02_24,UNEMP_M02_24,LABOR_FORCE_M02_24,UNEMP_PE_M03_24,UNEMP_M03_24,LABOR_FORCE_M03_24,UNEMP_PE_M04_24,UNEMP_M04_24,LABOR_FORCE_M04_24,UNEMP_PE_M05_24,UNEMP_M05_24,LABOR_FORCE_M05_24,UNEMP_PE_M06_24,UNEMP_M06_24,LABOR_FORCE_M06_24,UNEMP_PE_M07_24,UNEMP_M07_24,LABOR_FORCE_M07_24,UNEMP_PE_M08_24,UNEMP_M08_24,LABOR_FORCE_M08_24,UNEMP_PE_M09_24,UNEMP_M09_24,LABOR_FORCE_M09_24,UNEMP_PE_M10_24,UNEMP_M10_24,LABOR_FORCE_M10_24,UNEMP_PE_M11_24,UNEMP_M11_24,LABOR_FORCE_M11_24,UNEMP_PE_M12_24,UNEMP_M12_24,LABOR_FORCE_M12_24,UNEMP_PE_M01_25,UNEMP_M01_25,LABOR_FORCE_M01_25,UNEMP_PE_M02_25,UNEMP_M02_25,LABOR_FORCE_M02_25,UNEMP_PE_M03_25,UNEMP_M03_25,LABOR_FORCE_M03_25,UNEMP_PE_M04_25,UNEMP_M04_25,LABOR_FORCE_M04_25,UNEMP_PE_M05_25,UNEMP_M05_25,LABOR_FORCE_M05_25,UNEMP_PE_M06_25,UNEMP_M06_25,LABOR_FORCE_M06_25,HSE_Occ_PF_23,Own_PF_23,Rent_PF_23,PRED0_PF_23,PRED12_PF_23,PRED3_PF_23,DEP_Ratio_F_23,HHLD_SSI_PF_23,HHLD_Cash_Assist_PF_23,HHLD_SNAP_PF_23,HHLD_ASSIST_or_SNAP_PF_23,Under_18_PF_23,65_plus_PF_23,Disability_PF_23,ENG_LVW_PF_23,MAX_OUTAGE,total_customers,Run Start Time,MAX_OUTAGE_RUN_START_TIME,MAX_PERCENTAGE_OUT,Wind_Swath_Mode,Wind_Swath_Max,totPrecip,femaDeclarationString_IA,incidentType,disasterNumber,damagedStateAbbreviation,utilitiesOut,accessFunctionalNeeds,destroyed,validReg,ihpReferral,haReferral,onaReferral,ihpEligible,haEligible,onaEligible,habitabilityRepairsRequired,haMax,ihOwners,haEligibleOwners,onaEligibleOwners,haMaxOwners,validReg_Prop,haEligible_Prop,onaEligible_Prop,ihOwners_P,haEligible_Owners_P,onaEligible_Owners_P,haMax_Owners_P
"Posey County, Indiana",18129,0,0,0,0,None,None,24952,10519,1322,42.16,5.3,9611,1339,38.52,5.37,4822,1082,19.33,4.34,No,27.45,8.56,58.61,36.41,9.78,83.69,-888888888,-888888888,-888888888,25067,25163,-555555555,11081,29,10270,221,92.7,2,8430,282,82.1,2.4,1840,262,17.9,2.4,73.9,1.5,274,108,2.7,1.1,152,73,1.5,0.7,577,152,5.6,1.5,6,1.5,5573,117,22.1,0.5,5117,86,20.3,0.3,3133,348,12.6,1.4,50,29,0.2,0.1,17759,25222,10133,273,1060302168,70.4,2.7,61.61,2,76228,6536,2315,499,9.3,2,24760,3.5,424,12079,3.7,449,12116,3.6,431,12061,3,358,12061,3.7,450,12242,3.9,488,12616,3.9,500,12771,3.6,448,12511,3.2,403,12506,3.5,430,12417,3.8,465,12387,3.4,422,12373,4.1,504,12335,3.9,483,12362,2.8,348,12247,2.6,323,12344,3.1,392,12547,3.4,428,12747,1,1,-1,1,-1,0,1,-1,-1,-1,-1,0,1,0,-1,181,12142,2024-09-28 07:15:00+00:00,2024-09-28 07:15:00+00:00,1.5,34,34,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Pulaski County, Indiana",18131,0,0,0,0,None,None,12371,3762,730,30.41,5.9,5968,741,48.24,5.99,2641,607,21.35,4.91,No,41.65,13.99,72.93,66.3,16.3,93.47,-888888888,-888888888,-888888888,12421,12441,-555555555,5830,45,4894,168,83.9,2.8,3673,202,75.1,3.9,1221,207,24.9,3.9,74.5,1.2,246,83,5,1.7,44,29,0.9,0.6,322,138,6.6,2.8,7,2.7,2715,34,21.8,0.3,2595,32,20.9,0.3,2215,190,18,1.5,138,76,1.2,0.6,12514,12514,5100,179,1123220666,100,3.5,28.86,3,70303,5446,1376,287,11.3,2.4,12193,3.6,239,6651,3.8,254,6645,3.7,244,6546,3.1,203,6591,3.5,235,6805,3.6,256,7174,4,291,7206,3.9,281,7164,3.5,241,6973,3.6,246,6825,4,272,6766,3.6,249,6889,4.2,286,6793,4.3,297,6830,3.1,214,6967,2.4,170,6951,2.7,197,7196,2.9,212,7361,-1,1,-1,0,0,0,1,0,-1,-1,-1,-1,1,1,-1,7,6460,2024-09-29 03:30:00+00:00,2024-09-29 03:30:00+00:00,0.1,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Putnam County, Indiana",18133,0,0,0,0,None,None,33671,13489,1592,40.06,4.73,13523,1607,40.16,4.77,6659,1299,19.78,3.86,No,31.02,11.77,58.55,44.56,13.04,83.69,-888888888,-888888888,-888888888,37804,37091,-555555555,15148,99,13980,241,92.3,1.6,10283,388,73.6,2.9,3697,436,26.4,2.9,57.3,1,1050,200,7.5,1.4,118,70,0.8,0.5,1021,262,7.3,1.8,8,1.8,7086,111,19.1,0.3,6432,123,17.3,0.3,5021,458,14.5,1.3,220,118,0.6,0.3,26536,36726,13404,469,1244583014,72.3,3.5,76.43,2,73137,6420,3593,807,10.8,2.4,33301,4.1,678,16368,4.4,736,16665,4.2,694,16645,3.3,555,16784,3.9,653,16651,4.6,778,17010,4.7,806,17063,4.1,691,16855,3.6,621,17059,3.9,665,17045,4.3,733,17062,3.9,652,16799,4.5,754,16769,4.4,743,17019,3.4,562,16753,2.9,480,16813,3.4,578,16887,3.7,627,16912,1,1,-1,1,0,0,-1,1,-1,-1,-1,-1,1,1,-1,1928,21769,2024-09-28 00:45:00+00:00,2024-09-28 00:45:00+00:00,8.9,34,34,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Randolph County, Indiana",18135,0,0,0,0,None,None,24162,9322,1135,38.58,4.7,9348,1156,38.69,4.78,5492,947,22.73,3.92,No,52.06,26.81,74.58,87.49,35.87,94.56,-888888888,-888888888,-888888888,24337,24425,-555555555,11407,31,10182,191,89.3,1.7,7890,318,77.5,3,2292,313,22.5,3,75.6,0.9,608,157,6,1.5,217,89,2.1,0.9,1560,262,15.3,2.5,16.2,2.6,5568,27,22.8,0.1,4950,59,20.3,0.2,4787,393,19.9,1.6,294,144,1.3,0.6,16310,24502,10193,254,1171656770,66.6,2.5,54.16,2,58725,6344,3497,648,14.6,2.7,23881,4.1,495,11954,4.6,550,11893,4.2,505,11903,3.6,434,11895,4.3,518,12070,4.5,553,12311,4.7,582,12283,4.3,524,12178,3.9,472,12194,3.8,468,12184,4.2,507,12043,4.3,517,12034,5,600,11985,5.2,627,12047,3.7,450,12068,3.3,397,12022,3.5,425,12239,3.8,468,12382,0,1,-1,0,-1,0,1,0,0,1,1,1,1,1,-1,575,12356,2024-09-28 01:00:00+00:00,2024-09-28 01:00:00+00:00,4.7,34,34,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Ripley County, Indiana",18137,0,0,0,0,None,None,29122,11233,1401,38.57,4.81,11572,1413,39.74,4.85,6317,1142,21.69,3.92,No,44.33,20.61,69.68,70.65,26.08,92.38,-888888888,-888888888,-888888888,29214,29039,-555555555,12398,73,11356,233,91.6,1.9,8837,321,77.8,2.4,2519,283,22.2,2.4,73,0.8,425,122,3.7,1.1,192,83,1.7,0.7,774,207,6.8,1.8,7.8,1.8,6882,17,23.7,0.1,5369,78,18.5,0.3,3909,379,13.7,1.3,125,67,0.5,0.2,23592,28995,11374,361,1156251882,81.4,3.2,64.95,2,66942,7187,2942,570,10.3,2,28635,4.1,584,14388,4.4,637,14506,4.2,611,14428,3.4,494,14398,3.8,556,14610,4,607,15030,4.2,642,15258,3.8,565,15028,3.5,524,14994,3.6,533,14765,3.8,563,14733,3.6,540,14812,4.6,687,14816,4.6,676,14844,3.4,499,14786,2.7,400,14806,3,452,15004,3.3,500,15266,1,1,-1,0,-1,0,1,-1,-1,-1,-1,1,1,0,-1,2958,17533,2024-09-27 21:00:00+00:00,2024-09-27 21:00:00+00:00,16.9,34,34,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Rush County, Indiana",18139,0,0,0,0,None,None,16829,6375,1010,37.88,6,7099,1018,42.18,6.05,3355,813,19.94,4.83,No,32.17,8.75,65.01,46.73,9.78,89.12,-888888888,-888888888,-888888888,16759,16734,-555555555,7364,22,6650,161,90.3,2.2,4878,246,73.4,3.5,1772,242,26.6,3.5,70.7,1.5,541,137,8.1,2,77,51,1.2,0.8,716,167,10.8,2.5,11.2,2.5,3761,90,22.5,0.5,3170,32,18.9,0.2,2750,251,16.6,1.5,114,78,0.7,0.5,10283,16752,6712,265,1057069253,61.4,3.9,41.05,2,65326,7233,1797,384,10.8,2.3,16638,3.7,303,8100,4.2,339,8156,3.9,317,8088,3.1,254,8086,3.7,305,8224,4,341,8497,4.2,356,8504,3.9,329,8437,3.6,304,8442,3.7,309,8342,4,331,8287,3.4,285,8302,4,331,8269,4,336,8309,3,251,8239,2.7,223,8265,3.1,257,8403,3.5,296,8537,0,1,-1,0,0,0,1,1,-1,0,0,0,1,1,-1,175,10660,2024-09-27 23:45:00+00:00,2024-09-27 23:45:00+00:00,1.6,34,34,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"St. Joseph County, Indiana",18141,0,0,0,0,None,None,263358,99152,9040,37.65,3.43,111540,9185,42.35,3.49,52666,7414,20,2.82,No,32.55,17.43,53.24,50,20.65,78.25,-888888888,-888888888,-888888888,273744,272574,-555555555,118329,144,107005,750,90.4,0.6,73649,1016,68.8,0.9,33356,1023,31.2,0.9,66.2,0.1,4885,505,4.6,0.5,2571,403,2.4,0.4,10545,698,9.9,0.6,10.9,0.7,63561,29,23.3,0.1,45036,41,16.5,0.1,36773,1428,13.6,0.5,10159,921,4,0.4,27344,272912,107307,3531,1185646701,10,3.3,596.16,1,65977,2913,36928,3978,14.2,1.5,260153,4.8,6064,126985,5.3,6709,127151,5.2,6689,128796,4.3,5567,128849,4.6,5982,129327,5.1,6732,131338,5.6,7307,130944,5.3,6836,130139,4.6,5985,131028,4.6,6033,131960,4.9,6393,131405,4.6,5956,130734,4.8,6359,131309,4.9,6398,131030,3.8,5015,130835,3.3,4291,131589,3.7,4890,132060,4.1,5536,135071,1,1,-1,0,0,0,1,0,0,-1,-1,1,-1,1,-1,1409,126128,2024-10-02 22:00:00+00:00,2024-10-02 22:00:00+00:00,1.1,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Scott County, Indiana",18143,0,0,0,0,None,None,24545,10910,1543,44.45,6.29,8912,1548,36.31,6.31,4723,1229,19.24,5.01,No,26.75,6.39,61.89,32.61,7.61,86.95,-888888888,-888888888,-888888888,24751,24468,-555555555,10774,48,9637,303,89.4,2.7,6947,497,72.1,4.2,2690,401,27.9,4.2,65.3,0.7,569,168,5.9,1.7,194,136,2,1.4,1339,341,13.9,3.5,14.8,3.7,5514,-555555555,22.5,-555555555,4153,66,17,0.3,5391,623,22.4,2.6,83,67,0.4,0.3,16806,24384,9717,423,493140265,68.9,4.4,128.07,2,62584,6850,3520,750,14.5,3.1,24199,4.7,486,10266,4.9,505,10264,4.8,495,10334,4,417,10313,4.6,484,10474,4.9,517,10596,5.3,558,10546,4.9,515,10506,4.6,480,10451,4.6,481,10417,5.1,530,10431,4.9,505,10402,5.2,551,10568,5.4,567,10523,4.1,425,10384,3.6,378,10378,4.1,427,10462,4.4,471,10649,0,1,-1,1,-1,0,1,0,0,0,0,1,0,1,-1,285,10623,2024-09-27 15:15:00+00:00,2024-09-27 15:15:00+00:00,2.7,34,34,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Shelby County, Indiana",18145,0,0,0,0,None,None,45072,18790,2213,41.69,4.91,18136,2196,40.24,4.87,8146,1717,18.07,3.81,No,18.95,6.33,47.07,18.48,7.61,69.56,-888888888,-888888888,-888888888,45654,45104,-555555555,19576,48,18145,323,92.7,1.7,13392,424,73.8,2.1,4753,395,26.2,2.1,68,1,795,198,4.4,1.1,483,127,2.7,0.7,1359,215,7.5,1.2,8.5,1.2,10182,152,22.6,0.3,8067,56,17.9,0.1,6765,612,15.3,1.4,975,253,2.3,0.6,23695,45055,17943,600,1064838382,52.6,3.3,109.59,2,71548,6719,4945,853,11.2,1.9,44325,3.7,840,22841,4,920,22903,3.8,875,22908,3.1,718,23026,3.6,838,23274,4,938,23581,4.2,1014,23897,3.8,903,23672,3.4,807,23513,3.6,841,23444,3.8,902,23500,3.6,841,23399,4.1,965,23405,4,940,23395,3,687,23229,2.6,605,23395,3,701,23610,3.3,787,23887,1,1,-1,1,0,0,1,0,0,-1,-1,1,1,1,-1,709,26980,2024-09-28 00:15:00+00:00,2024-09-28 00:15:00+00:00,2.6,34,34,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Spencer County, Indiana",18147,0,0,0,0,None,None,19864,7260,1015,36.55,5.11,8549,1029,43.04,5.18,4055,832,20.41,4.19,No,35.51,12.98,64.05,56.52,15.22,88.03,-888888888,-888888888,-888888888,20192,19871,-555555555,8685,63,7979,174,91.9,1.9,6482,218,81.2,2.3,1497,190,18.8,2.3,72.5,0.7,312,96,3.9,1.2,282,95,3.5,1.2,542,127,6.8,1.6,7.7,1.6,4330,35,21.8,0.2,4023,34,20.2,0.2,2765,280,14.1,1.4,207,76,1.1,0.4,19810,19810,7882,237,1027934787,100,3,49.91,3,77467,3334,1712,383,8.7,1.9,19733,4.4,420,9469,4.7,446,9561,4.4,421,9610,3.5,347,10038,3.8,393,10437,4,440,11051,4.2,462,10977,4,422,10619,3.6,373,10379,3.7,380,10261,4.1,402,9767,3.7,365,9749,4.5,433,9707,4.3,425,9784,3.2,309,9687,2.7,270,10060,2.9,307,10549,3,332,11013,1,1,-1,0,0,0,1,0,0,-1,-1,-1,1,0,-1,117,14778,2024-09-29 15:00:00+00:00,2024-09-29 15:00:00+00:00,0.8,34,34,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Starke County, Indiana",18149,0,0,0,0,None,None,23206,8677,1217,37.39,5.24,9571,1237,41.24,5.33,4958,1005,21.37,4.33,No,41.82,16.89,70.16,67.38,20.65,92.38,-888888888,-888888888,-888888888,23463,23300,-555555555,11214,39,8758,265,78.1,2.4,7334,297,83.7,2.3,1424,208,16.3,2.3,74.5,1.2,610,180,7,2,195,90,2.2,1,1078,178,12.3,2,12.9,2.1,5319,86,22.8,0.4,4631,42,19.9,0.2,4494,404,19.3,1.7,209,96,1,0.4,23371,23371,9287,405,800679819,100,4.4,75.6,3,61259,5967,3019,637,13.1,2.8,23039,5.8,537,9241,6,550,9230,5.7,539,9378,4.6,432,9332,4.8,453,9392,5.2,496,9538,5.7,537,9404,5.4,512,9499,4.9,457,9403,5,473,9394,5.3,498,9335,5.5,515,9320,6.8,644,9481,6.6,626,9441,4.7,444,9477,4,382,9521,4.1,394,9548,4.5,437,9786,-1,1,-1,0,0,0,1,0,0,0,0,1,1,1,-1,919,10051,2024-09-29 03:30:00+00:00,2024-09-29 03:30:00+00:00,9.1,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Steuben County, Indiana",18151,0,0,0,0,None,None,33351,12109,1587,36.31,4.76,14872,1621,44.59,4.86,6370,1331,19.1,3.99,No,25.78,8.81,55.08,29.89,9.78,79.34,-888888888,-888888888,-888888888,34862,34648,-555555555,19055,35,13765,433,72.2,2.3,11037,378,80.2,2.3,2728,353,19.8,2.3,70.3,0.5,669,160,4.9,1.2,115,72,0.8,0.5,818,227,5.9,1.6,6.4,1.7,6914,23,20,0.1,7386,60,21.3,0.2,5013,524,14.6,1.5,356,100,1.1,0.3,21749,34435,13766,402,799742710,63.2,2.9,111.52,2,71355,5989,3362,688,10.2,2.1,33076,4,691,17096,4.4,763,17207,4.2,735,17332,3.6,617,17316,4.1,706,17165,4.4,785,17653,5,884,17707,4.3,746,17414,3.9,686,17555,3.9,683,17302,4.3,746,17202,3.9,668,17063,4.4,761,17323,4.4,770,17384,3.5,603,17372,3,530,17438,3.5,598,17321,3.7,656,17919,-1,1,-1,0,0,0,1,0,-1,-1,-1,-1,1,1,-1,11953,19838,2024-09-29 03:30:00+00:00,2024-09-29 03:30:00+00:00,60.3,-888888888,-888888888,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Sullivan County, Indiana",18153,0,0,0,0,None,None,18687,6520,1011,34.89,5.41,8444,1023,45.19,5.47,3723,834,19.92,4.46,No,31.99,9.99,62.97,45.65,10.87,86.95,-888888888,-888888888,-888888888,20768,20766,-555555555,8798,40,7697,190,87.5,2.2,5820,279,75.6,3.3,1877,262,24.4,3.3,60.5,0.5,358,117,4.7,1.5,83,43,1.1,0.6,880,214,11.4,2.7,11.7,2.8,3992,21,19.2,0.1,3838,38,18.5,0.2,3253,301,17.4,1.6,74,43,0.4,0.2,15943,20817,7727,245,1158231909,76.6,3.2,46.55,2,59148,6956,2890,522,15.6,2.8,18484,4.3,388,9011,4.7,429,9084,4.5,411,9042,3.7,335,9130,3.8,350,9227,4.2,387,9300,4.4,412,9426,4.3,400,9326,4.1,388,9366,4.1,377,9280,4.4,410,9248,4,371,9280,4.4,410,9233,4.3,395,9233,3.3,300,9203,2.7,252,9263,3.2,299,9423,3.5,327,9455,0,1,-1,0,0,0,-1,0,-1,0,0,-1,1,1,-1,233,10502,2024-09-28 02:30:00+00:00,2024-09-28 02:30:00+00:00,2.2,34,34,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Switzerland County, Indiana",18155,0,0,0,0,None,None,9970,3599,753,36.1,7.55,4278,758,42.91,7.6,2093,604,20.99,6.06,No,39.45,8.3,76.42,63.04,9.78,95.64,-888888888,-888888888,-888888888,9988,9914,-555555555,4399,28,3897,140,88.6,3.3,3111,150,79.8,3.1,786,130,20.2,3.1,73.6,0.9,280,80,7.2,2,162,85,4.2,2.1,461,142,11.8,3.5,12.6,3.5,2372,3,23.9,0.1,1832,30,18.5,0.3,2035,253,20.7,2.6,57,61,0.6,0.7,9737,9737,3788,171,571526245,100,4.5,44.13,3,60219,6717,1264,317,12.8,3.2,9877,4.8,190,3998,4.9,198,4010,4.8,189,3946,3.9,159,4026,4.5,185,4125,4.8,205,4243,5.1,218,4279,4.6,191,4166,4.4,182,4116,4.4,179,4026,4.8,193,3994,4.7,187,3990,5.3,213,4028,5.4,218,4042,3.9,162,4107,3.4,140,4148,3.6,153,4221,3.9,170,4319,0,1,-1,0,0,0,1,1,0,0,0,1,1,1,-1,269,3925,2024-09-28 00:00:00+00:00,2024-09-28 00:00:00+00:00,6.9,34,34,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Tippecanoe County, Indiana",18157,0,0,0,0,None,None,174404,69458,6363,39.83,3.65,71639,6401,41.08,3.67,33307,4994,19.1,2.86,No,25.78,13.1,47.55,29.89,15.22,70.65,-888888888,-888888888,-888888888,191650,187399,-555555555,79327,133,74415,641,93.8,0.8,40112,893,53.9,1.3,34303,1060,46.1,1.3,48.1,0.1,2394,419,3.2,0.6,931,199,1.3,0.3,4956,656,6.7,0.9,7.3,0.9,38420,-555555555,20.5,-555555555,22415,64,12,0.1,17604,1081,9.5,0.6,9094,939,5.1,0.5,29151,186251,71651,1750,1292138877,15.7,2.4,373.33,1,61681,3066,29604,2818,17.1,1.6,172887,3.3,3321,100050,3.9,3925,100843,3.9,3946,101381,3,3051,101562,3.8,3854,100963,4.5,4471,99832,4.8,4733,98346,4,4020,100967,3.4,3437,101413,3.5,3590,102858,3.8,3914,102062,3.5,3581,101322,3.8,3857,101655,4,4046,101667,3.2,3213,101614,2.6,2668,101943,3.2,3305,101851,3.8,3811,101503,1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,488,90448,2024-10-02 09:30:00+00:00,2024-10-02 09:30:00+00:00,0.5,34,34,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
"Tipton County, Indiana",18159,0,0,0,0,None,None,15229,6655,917,43.7,6.02,6035,932,39.63,6.12,2539,769,16.67,5.05,No,10.69,1.97,46.05,10.87,2.17,67.38,-888888888,-888888888,-888888888,15324,15329,-555555555,6836,38,6265,168,91.6,2.5,5126,241,81.8,3.4,1139,216,18.2,3.4,73.4,1.3,276,116,4.4,1.9,132,90,2.1,1.4,503,155,8,2.5,8.7,2.5,3163,7,20.6,0.1,3324,64,21.7,0.4,2002,263,13.2,1.7,134,100,0.9,0.7,9452,15359,6244,185,674797600,61.5,3,58.95,2,76188,7152,1346,277,9,1.8,14999,3.9,300,7752,4.2,328,7778,3.9,301,7714,3.7,286,7812,3.7,296,7907,4,322,8063,4.4,360,8220,5.7,467,8251,3.7,300,8046,4.7,375,8055,5.3,431,8093,4.2,336,8024,4.5,358,7954,4.5,356,7973,3.5,279,7921,3.5,283,7993,3.7,296,8096,4.1,332,8194,0,1,-1,1,0,0,1,0,0,-1,-1,-1,1,0,-1,77,8240,2024-09-28 02:15:00+00:00,2024-09-28 02:15:00+00:00,0.9,34,34,-888888888,None,None,None,None,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888
